"origin","destination","in 1990","in 1995","in 2000","in 2005","in 2010","in 2015","in 2020","in 2024"
"Saudi Arabia","Qatar",9870,15156,22946,7026,1020,1111,893,956
"Syrian Arab Republic","Qatar",366,486,648,3264,8405,8852,24258,25981
"Turkiye","Qatar",1606,2133,2851,3039,6046,6249,5035,5393
"United Arab Emirates","Qatar",27258,35554,46625,17956,12125,11990,9368,10034
"Yemen, Rep.","Qatar",7309,9713,12975,15651,32491,43192,34812,37285
"United Kingdom","Qatar",2008,2277,2528,2422,4616,4757,6732,7210
"France","Qatar",71,172,332,582,1329,1314,1058,1133
"Netherlands","Qatar",283,376,503,321,481,557,447,479
"United States","Qatar",563,748,1000,1144,2333,2824,4231,4532
"Ethiopia","Saudi Arabia",13622,20041,22195,29520,67124,155294,160421,180746
"Somalia, Fed. Rep.","Saudi Arabia",16223,18856,20532,25011,33910,46289,45963,48099
"Egypt, Arab Rep.","Saudi Arabia",842428,901867,957366,1153829,1317642,1509854,1475593,1498313
"Sudan","Saudi Arabia",142047,183136,193735,255574,453507,814458,821780,895646
"Afghanistan","Saudi Arabia",7724,11809,12608,17868,47285,127748,132764,153258
"Bangladesh","Saudi Arabia",244707,335423,351570,481958,993917,2080864,2120004,2362680
"India","Saudi Arabia",834742,922696,969679,1202498,1515540,1920159,1888090,1953496
"Nepal","Saudi Arabia",8158,12361,12879,19970,73840,280894,297930,297561
"Pakistan","Saudi Arabia",488673,585250,614620,790642,1195820,1824586,1818172,1937044
"Sri Lanka","Saudi Arabia",109430,102959,111628,124638,105338,89042,85194,83297
"Indonesia","Saudi Arabia",296986,270513,302021,321491,244403,185481,176729,169846
"Myanmar","Saudi Arabia",169264,165026,156626,162049,162954,168453,164556,163252
"Philippines","Saudi Arabia",303735,347810,382545,455823,578608,738497,730715,755432
"Iraq","Saudi Arabia",6399,21798,11372,6699,6454,6514,6566,6510
"Jordan","Saudi Arabia",108617,118774,128816,152902,178477,209149,205283,209093
"Lebanon","Saudi Arabia",38697,39996,43192,50316,52336,54516,53016,52864
"Syrian Arab Republic","Saudi Arabia",73889,98128,106039,137460,246106,446037,456607,496044
"Yemen, Rep.","Saudi Arabia",238364,321876,342915,458347,896775,1779422,1809639,1999619
"Somalia, Fed. Rep.","Syrian Arab Republic",200,345,443,1458,3100,1040,1079,1113
"Sudan","Syrian Arab Republic",0,48,91,222,538,203,209,216
"Afghanistan","Syrian Arab Republic",0,92,172,629,2605,1487,1143,1179
"Iraq","Syrian Arab Republic",3825,3036,1829,337785,1110642,195204,203003,209390
"Somalia, Fed. Rep.","Turkiye",25,25,25,1099,2242,3382,16564,27594
"Algeria","Turkiye",648,648,648,827,1017,1373,9030,16719
"Egypt, Arab Rep.","Turkiye",2365,1591,817,1669,2627,4282,29478,42894
"Libya","Turkiye",3072,3072,3072,4940,6929,12602,25904,29478
"Morocco","Turkiye",470,470,470,1339,2264,3629,15343,27080
"Sudan","Turkiye",1265,1265,1265,1265,1265,1265,3299,15754
"Nigeria","Turkiye",293,293,293,1229,2226,3224,7802,16375
"Kazakhstan","Turkiye",4996,4996,4996,9738,14790,20446,38677,84823
"Kyrgyz Republic","Turkiye",1752,1752,1752,5686,9876,15450,30942,44361
"Tajikistan","Turkiye",267,267,267,954,1685,2417,5017,11341
"Turkmenistan","Turkiye",2034,2034,2034,7936,14222,22420,116963,119955
"Uzbekistan","Turkiye",7909,7909,7909,15094,22748,32875,75318,128061
"China","Turkiye",1743,1743,1743,4579,7599,11377,21804,29249
"Afghanistan","Turkiye",7147,9904,9620,17982,29314,101893,271641,332053
"Iran, Islamic Rep.","Turkiye",11362,13609,15701,22290,29160,52639,125721,199735
"Pakistan","Turkiye",1138,1138,1138,1620,2133,2945,9410,26088
"Indonesia","Turkiye",180,180,180,1019,1914,2983,6222,15386
"Azerbaijan","Turkiye",16787,16787,16787,26485,36815,49490,91368,117860
"Cyprus","Turkiye",9159,9757,10354,13484,16779,20247,26185,30993
"Georgia","Turkiye",6511,6511,6511,12323,18514,24553,26629,22770
"Iraq","Turkiye",29406,21629,11043,25137,44828,170324,470584,403670
"Jordan","Turkiye",898,898,898,1292,1712,2361,15655,24978
"Kuwait","Turkiye",286,286,286,658,1054,1450,9361,15838
"Lebanon","Turkiye",1132,1132,1132,1749,2405,3150,9296,24965
"Saudi Arabia","Turkiye",3312,3838,4363,7122,10027,13612,51517,61221
"Syrian Arab Republic","Turkiye",5234,5339,5357,25453,46891,2102261,3830526,3563983
"United Arab Emirates","Turkiye",3443,1795,146,792,1588,2384,7489,12928
"Yemen, Rep.","Turkiye",69,69,69,863,1709,2555,14003,21256
"Bulgaria","Turkiye",462221,471243,480265,448154,413362,380354,363507,348052
"Moldova","Turkiye",2333,2333,2333,5416,8701,12568,14639,16824
"Romania","Turkiye",20736,20736,20736,16981,12981,9448,9612,11400
"Russian Federation","Turkiye",11175,15387,19598,23295,26958,32381,60671,193302
"Ukraine","Turkiye",4179,4179,4179,8150,12380,18377,29379,72339
"United Kingdom","Turkiye",6106,12320,18534,23325,28024,32195,33978,40743
"Greece","Turkiye",103039,81779,60518,48588,37266,27005,30225,31548
"North Macedonia","Turkiye",143937,143937,143937,110994,75904,43868,38728,35535
"Austria","Turkiye",6757,10434,14111,15284,16294,17910,25174,30987
"Belgium","Turkiye",4581,6604,8627,15068,21797,27187,30565,40904
"France","Turkiye",10108,12955,15802,19983,24252,28300,38539,52315
"Germany","Turkiye",173893,222235,270576,268753,263659,261210,304600,363563
"Netherlands","Turkiye",9555,15511,21467,25209,28807,32195,37150,46268
"Switzerland","Turkiye",8040,9170,10300,11395,12489,13462,15139,17204
"United States","Turkiye",12846,13202,13557,16731,20088,23570,27054,33577
"Eritrea","United Arab Emirates",3833,4851,6106,7426,12081,15215,15935,18093
"Ethiopia","United Arab Emirates",2699,3416,4300,4519,6904,8696,9107,10340
"Somalia, Fed. Rep.","United Arab Emirates",2570,3252,4094,4086,6083,7661,8023,9109
"South Sudan","United Arab Emirates",3938,5106,6521,6623,9950,12531,13123,14900
"Chad","United Arab Emirates",1060,1340,1687,2054,3344,4211,4409,5007
"Egypt, Arab Rep.","United Arab Emirates",165437,204664,254074,335290,562083,707918,741460,841883
"Morocco","United Arab Emirates",1942,2457,3092,3526,5588,7038,7370,8368
"Sudan","United Arab Emirates",31983,41469,52959,54868,83242,104839,109805,124677
"Tunisia","United Arab Emirates",1171,1481,1864,2259,3671,4623,4841,5497
"Nigeria","United Arab Emirates",1412,1787,2249,5108,9809,12353,12937,14690
"Afghanistan","United Arab Emirates",1625,2055,2588,3147,5119,6447,6751,7665
"Bangladesh","United Arab Emirates",154362,216463,288689,401200,684306,861853,902689,1024949
"India","United Arab Emirates",456794,657380,888393,1262523,2168857,2731583,2861045,3248545
"Nepal","United Arab Emirates",1724,2182,2747,8650,17425,21945,22984,26097
"Pakistan","United Arab Emirates",158191,222210,296606,376533,622486,783994,821140,932356
"Sri Lanka","United Arab Emirates",44275,42893,43979,48259,75285,94817,99309,112759
"Indonesia","United Arab Emirates",46445,67397,91456,119309,199195,250877,262762,298351
"Philippines","United Arab Emirates",59910,90400,124993,198805,352872,444426,465483,528527
"Thailand","United Arab Emirates",2221,2810,3538,4750,8011,10089,10565,11996
"Bahrain","United Arab Emirates",230,490,771,815,1250,1573,1647,1870
"Jordan","United Arab Emirates",25993,35196,46069,62416,105574,132965,139263,158125
"Kuwait","United Arab Emirates",13052,16639,21036,25836,42191,53137,55654,63192
"Lebanon","United Arab Emirates",5495,6954,8753,14574,26188,32983,34545,39223
"Qatar","United Arab Emirates",61,129,204,808,1670,2104,2201,2500
"Saudi Arabia","United Arab Emirates",463,989,1556,2349,4112,5178,5422,6157
"Syrian Arab Republic","United Arab Emirates",13418,16981,21375,21907,33069,41648,43621,49529
"Turkiye","United Arab Emirates",9749,12337,15568,15845,23859,30050,31473,35736
"Yemen, Rep.","United Arab Emirates",44368,56149,70674,80922,128472,161805,169470,192423
"United Kingdom","United Arab Emirates",12189,12644,13775,12760,18240,22972,24059,27318
"France","United Arab Emirates",433,1100,1812,5636,11336,14277,14952,16977
"Netherlands","United Arab Emirates",1316,1325,1406,1352,1973,2484,2600,2953
"United States","United Arab Emirates",3420,4327,5446,6174,9761,12293,12874,14618
"Eritrea","Yemen, Rep.",0,2500,2766,789,1515,1902,1937,1966
"Ethiopia","Yemen, Rep.",15804,687,1703,1916,6181,15740,16039,16283
"Somalia, Fed. Rep.","Yemen, Rep.",36771,61684,69757,92022,194353,275683,280940,285211
"South Sudan","Yemen, Rep.",0,0,0,0,0,541,551,559
"Egypt, Arab Rep.","Yemen, Rep.",8579,8886,9206,9808,10621,7596,7739,7857
"Sudan","Yemen, Rep.",18648,19777,20102,21394,23170,26541,27044,27455
"Iran, Islamic Rep.","Yemen, Rep.",0,0,0,0,10,7,6,6
"Viet Nam","Yemen, Rep.",706,0,9,0,28,15,14,14
"Iraq","Yemen, Rep.",4943,5140,5389,6731,10441,9801,9987,10139
"Syrian Arab Republic","Yemen, Rep.",2238,2318,2411,2578,2822,3943,4013,4074
"Ethiopia","Belarus",11,18,25,24,23,25,23,23
"Algeria","Belarus",27,41,55,53,50,53,51,50
"Kazakhstan","Belarus",81148,76868,72587,71580,70573,69957,68934,68126
"Kyrgyz Republic","Belarus",6071,5751,5430,5355,5279,5234,5156,5096
"Tajikistan","Belarus",6587,6240,5892,5811,5729,5679,5595,5530
"Turkmenistan","Belarus",6339,6005,5670,5592,5513,5464,5382,5319
"Uzbekistan","Belarus",17154,16225,15344,15108,14919,14788,14570,14400
"Korea, Dem. People's Rep.","Belarus",97,80,62,60,57,60,58,57
"Mongolia","Belarus",96,136,175,168,161,168,164,162
"Korea, Rep.","Belarus",22,26,29,28,27,29,27,27
"Afghanistan","Belarus",140,216,292,281,270,282,277,274
"India","Belarus",24,37,50,48,46,48,46,45
"Iran, Islamic Rep.","Belarus",25,38,51,49,47,49,47,46
"Pakistan","Belarus",24,37,49,47,45,47,45,44
"Viet Nam","Belarus",182,282,381,366,351,366,359,355
"Armenia","Belarus",6645,6295,5944,5862,5779,5728,5643,5577
"Azerbaijan","Belarus",15651,14826,14000,13806,13611,13493,13294,13138
"Georgia","Belarus",9868,9348,8827,8705,8583,8507,8381,8283
"Israel","Belarus",192,297,402,386,370,387,380,376
"Jordan","Belarus",13,22,30,29,28,30,28,28
"Lebanon","Belarus",32,50,67,64,61,65,63,62
"Syrian Arab Republic","Belarus",40,63,86,83,79,83,80,79
"Turkiye","Belarus",11,18,25,24,23,25,23,23
"United Arab Emirates","Belarus",15,19,23,22,20,23,21,21
"Yemen, Rep.","Belarus",14,24,33,32,30,33,31,31
"Bulgaria","Belarus",30,47,63,61,58,61,59,58
"Czechia","Belarus",83,91,99,95,91,96,93,92
"Hungary","Belarus",291,323,354,341,327,342,335,331
"Poland","Belarus",235,365,495,476,456,478,470,465
"Moldova","Belarus",8826,8361,7895,7786,7676,7608,7496,7408
"Romania","Belarus",10,17,23,22,20,23,21,21
"Russian Federation","Belarus",791522,749767,708011,698192,688372,682362,672481,664610
"Slovak Republic","Belarus",25,26,27,26,25,27,25,25
"Ukraine","Belarus",261845,248032,234219,230971,227722,225734,222436,219832
"Denmark","Belarus",130,168,206,198,190,199,195,193
"Estonia","Belarus",3429,3397,3365,3232,3099,3243,3194,3157
"Finland","Belarus",1185,1688,2190,2104,2017,2111,2079,2055
"Ireland","Belarus",16,20,24,23,21,24,22,22
"Latvia","Belarus",11085,10983,10880,10450,10019,10486,10332,10211
"Lithuania","Belarus",18380,18210,18039,17326,16612,17385,17130,16930
"Norway","Belarus",49,56,63,61,58,61,59,58
"Sweden","Belarus",190,271,352,338,324,340,333,329
"United Kingdom","Belarus",340,409,478,460,441,461,453,448
"Greece","Belarus",164,139,113,109,104,108,105,104
"Italy","Belarus",10,17,24,23,21,24,22,22
"Serbia","Belarus",16,27,37,36,34,35,33,33
"Spain","Belarus",31,34,37,36,34,35,33,33
"Austria","Belarus",44,53,61,59,56,59,57,56
"Belgium","Belarus",28,33,38,37,35,36,34,34
"Germany","Belarus",32,50,68,65,62,66,64,63
"Switzerland","Belarus",22,26,29,28,27,29,27,27
"Cuba","Belarus",22,34,46,45,43,44,42,42
"Argentina","Belarus",76,92,107,103,99,102,99,98
"Brazil","Belarus",69,83,97,93,89,94,91,90
"Uruguay","Belarus",21,25,28,27,26,28,26,26
"Canada","Belarus",85,123,160,154,148,155,152,150
"United States","Belarus",42,66,90,86,82,87,84,83
"Australia","Belarus",21,25,28,27,26,28,26,26
"Burundi","Bulgaria",4,7,9,12,15,15,18,25
"Djibouti","Bulgaria",1,2,2,3,3,3,2,3
"Eritrea","Bulgaria",1,2,2,3,3,3,13,18
"Ethiopia","Bulgaria",26,30,34,41,49,50,63,87
"Kenya","Bulgaria",2,4,6,9,11,16,28,39
"Madagascar","Bulgaria",0,1,1,2,2,2,1,1
"Malawi","Bulgaria",0,0,0,0,0,1,2,3
"Mauritius","Bulgaria",0,0,0,1,1,4,5,7
"Mozambique","Bulgaria",6,10,14,20,24,31,38,52
"Rwanda","Bulgaria",0,1,1,2,2,2,1,1
"Seychelles","Bulgaria",0,0,0,0,0,0,1,1
"Somalia, Fed. Rep.","Bulgaria",1,2,2,3,3,16,23,32
"Uganda","Bulgaria",1,2,3,4,5,7,9,12
"Tanzania","Bulgaria",7,8,9,11,13,10,13,18
"Zambia","Bulgaria",3,5,6,9,11,10,13,18
"Zimbabwe","Bulgaria",4,9,14,20,27,27,41,56
"Angola","Bulgaria",4,4,4,5,6,8,15,21
"Cameroon","Bulgaria",1,3,4,6,8,13,24,33
"Chad","Bulgaria",1,2,3,4,5,5,4,6
"Congo, Rep.","Bulgaria",10,9,8,9,9,10,26,36
"Congo, Dem. Rep.","Bulgaria",3,6,8,11,14,13,13,18
"Gabon","Bulgaria",3,5,6,9,11,10,8,11
"Algeria","Bulgaria",32,105,178,266,350,347,460,633
"Egypt, Arab Rep.","Bulgaria",30,50,69,96,120,210,358,492
"Libya","Bulgaria",34,67,99,140,179,210,294,404
"Morocco","Bulgaria",19,30,41,57,70,93,156,215
"Sudan","Bulgaria",12,17,21,28,34,41,48,66
"Tunisia","Bulgaria",18,30,41,58,72,97,150,206
"Botswana","Bulgaria",7,11,15,20,26,23,26,36
"Eswatini","Bulgaria",1,2,2,3,3,2,1,1
"Namibia","Bulgaria",1,2,2,3,3,5,8,11
"South Africa","Bulgaria",9,35,61,92,121,188,335,461
"Benin","Bulgaria",2,9,15,22,30,24,27,37
"Burkina Faso","Bulgaria",3,5,6,9,11,11,13,18
"Cabo Verde","Bulgaria",2,3,4,6,7,6,5,7
"Cote d'Ivoire","Bulgaria",1,2,3,4,5,12,15,21
"Gambia, The","Bulgaria",2,4,5,8,10,8,9,12
"Ghana","Bulgaria",4,5,6,8,10,15,29,40
"Guinea","Bulgaria",4,5,6,8,10,9,9,12
"Guinea-Bissau","Bulgaria",1,2,3,4,5,4,3,4
"Liberia","Bulgaria",1,2,3,4,5,5,6,8
"Mali","Bulgaria",0,0,0,1,1,5,3,4
"Mauritania","Bulgaria",1,2,2,3,3,2,2,3
"Niger","Bulgaria",8,6,4,3,1,1,0,0
"Nigeria","Bulgaria",31,38,45,57,68,124,246,338
"Senegal","Bulgaria",1,3,4,7,9,11,14,19
"Sierra Leone","Bulgaria",0,0,0,1,1,1,1,1
"Togo","Bulgaria",0,0,0,0,1,1,3,4
"Kazakhstan","Bulgaria",89,271,452,672,879,1327,2308,3174
"Kyrgyz Republic","Bulgaria",10,26,41,60,78,145,237,326
"Tajikistan","Bulgaria",5,29,53,82,109,133,169,232
"Turkmenistan","Bulgaria",7,61,115,179,239,250,317,436
"Uzbekistan","Bulgaria",24,163,302,465,619,675,925,1272
"China","Bulgaria",362,443,524,657,780,1083,1550,2132
"Korea, Dem. People's Rep.","Bulgaria",1,1,1,18,33,29,37,51
"Japan","Bulgaria",26,44,61,84,105,159,220,303
"Mongolia","Bulgaria",23,29,35,45,54,79,101,139
"Korea, Rep.","Bulgaria",33,43,53,41,51,140,230,316
"Afghanistan","Bulgaria",222,223,223,2320,2450,3438,426,586
"Bangladesh","Bulgaria",22,150,278,429,571,478,539,741
"Bhutan","Bulgaria",1,7,13,20,27,21,23,32
"India","Bulgaria",163,149,135,137,138,251,553,760
"Iran, Islamic Rep.","Bulgaria",98,127,155,199,239,303,475,653
"Maldives","Bulgaria",1,1,1,2,2,1,0,0
"Nepal","Bulgaria",1,2,3,4,5,8,16,22
"Pakistan","Bulgaria",23,25,27,33,37,137,290,399
"Sri Lanka","Bulgaria",2,4,5,7,9,12,20,28
"Brunei Darussalam","Bulgaria",0,0,0,1,1,1,1,1
"Cambodia","Bulgaria",6,8,9,11,13,11,13,18
"Indonesia","Bulgaria",1,6,11,17,22,38,63,87
"Lao PDR","Bulgaria",0,0,0,1,1,1,0,0
"Malaysia","Bulgaria",0,1,1,2,2,3,20,28
"Philippines","Bulgaria",10,15,20,27,33,72,155,213
"Singapore","Bulgaria",2,3,4,6,7,15,33,45
"Thailand","Bulgaria",3,5,7,10,12,30,57,78
"Viet Nam","Bulgaria",346,381,416,494,566,557,709,975
"Armenia","Bulgaria",1207,1179,1150,1246,1334,1371,1802,2478
"Azerbaijan","Bulgaria",8,466,923,1454,1953,1652,1930,2654
"Bahrain","Bulgaria",1,3,4,6,8,14,28,39
"Cyprus","Bulgaria",103,126,149,187,222,883,1479,2034
"Georgia","Bulgaria",77,117,157,213,264,354,492,677
"Iraq","Bulgaria",171,265,358,1325,2549,4850,1389,1910
"Israel","Bulgaria",58,114,169,240,306,486,824,1133
"Jordan","Bulgaria",83,94,105,127,148,201,293,403
"Kuwait","Bulgaria",9,28,47,71,92,100,227,312
"Lebanon","Bulgaria",266,323,379,473,560,662,1026,1411
"Oman","Bulgaria",0,1,1,2,2,4,9,12
"Qatar","Bulgaria",2,3,4,6,8,29,58,80
"Saudi Arabia","Bulgaria",1,8,15,23,31,56,139,191
"Syrian Arab Republic","Bulgaria",473,606,738,942,1134,15502,17848,24543
"Turkiye","Bulgaria",743,1377,2010,2822,3587,8130,14454,19877
"United Arab Emirates","Bulgaria",1,14,26,41,55,133,347,477
"Yemen, Rep.","Bulgaria",28,30,32,38,43,46,93,128
"Belarus","Bulgaria",89,198,307,443,571,704,1110,1526
"Czechia","Bulgaria",162,313,464,657,838,1039,1533,2108
"Hungary","Bulgaria",70,122,174,242,306,312,391,538
"Poland","Bulgaria",423,558,693,895,1085,1444,1946,2676
"Moldova","Bulgaria",582,821,1059,1398,1716,2070,3144,4324
"Romania","Bulgaria",143,1393,2642,4103,5479,4039,3519,4839
"Russian Federation","Bulgaria",6899,8936,10972,14064,16970,21381,32789,45089
"Slovak Republic","Bulgaria",63,107,151,209,263,299,394,542
"Ukraine","Bulgaria",1671,2451,3230,4311,5327,6164,11275,61074
"Denmark","Bulgaria",10,21,31,44,57,201,555,763
"Estonia","Bulgaria",4,16,27,41,54,64,103,142
"Finland","Bulgaria",10,19,28,40,51,129,211,290
"Iceland","Bulgaria",1,34,66,104,140,15,29,40
"Ireland","Bulgaria",4,5,6,8,10,214,385,529
"Isle of Man","Bulgaria",0,1,2,3,4,2,18,25
"Latvia","Bulgaria",10,34,58,87,115,148,218,300
"Lithuania","Bulgaria",9,30,50,75,98,118,158,217
"Norway","Bulgaria",4,24,43,66,88,230,545,749
"Sweden","Bulgaria",15,37,58,85,111,274,514,707
"United Kingdom","Bulgaria",59,692,1324,2062,2757,5901,11981,16476
"Albania","Bulgaria",103,316,528,785,1028,990,1351,1858
"Andorra","Bulgaria",0,0,0,1,1,0,0,0
"Bosnia and Herzegovina","Bulgaria",18,36,54,77,98,102,164,226
"Croatia","Bulgaria",15,29,42,60,76,95,125,172
"Gibraltar","Bulgaria",2,3,4,6,8,6,9,12
"Greece","Bulgaria",1246,1945,2643,3584,4469,6276,8061,11085
"Italy","Bulgaria",113,312,511,754,982,2479,3994,5492
"Malta","Bulgaria",1,9,16,25,33,63,165,227
"Montenegro","Bulgaria",7,11,15,20,25,24,41,56
"North Macedonia","Bulgaria",1018,1247,1476,1850,2200,2402,4614,6345
"Portugal","Bulgaria",3,24,44,68,90,339,569,782
"San Marino","Bulgaria",1,2,2,3,4,6,4,6
"Serbia","Bulgaria",562,895,1227,1606,2022,1944,3245,4462
"Slovenia","Bulgaria",8,14,19,26,33,83,129,177
"Spain","Bulgaria",18,346,674,1057,1417,4589,7450,10245
"Austria","Bulgaria",26,62,98,142,184,804,1938,2665
"Belgium","Bulgaria",14,98,181,280,372,1297,2606,3584
"France","Bulgaria",63,165,267,392,509,1560,3021,4154
"Germany","Bulgaria",252,625,998,1457,1889,4846,12588,17311
"Liechtenstein","Bulgaria",1,2,2,3,3,2,1,1
"Luxembourg","Bulgaria",2,3,4,6,8,64,109,150
"Monaco","Bulgaria",1,2,2,3,4,8,12,17
"Netherlands","Bulgaria",12,72,132,204,271,911,1772,2437
"Switzerland","Bulgaria",15,46,76,114,148,347,600,825
"Antigua and Barbuda","Bulgaria",1,2,3,4,5,5,4,6
"Aruba","Bulgaria",1,2,3,4,5,5,3,4
"Bahamas, The","Bulgaria",1,2,2,3,4,4,3,4
"Barbados","Bulgaria",1,2,2,3,4,4,3,4
"British Virgin Islands","Bulgaria",21,34,46,63,79,59,60,83
"Cayman Islands","Bulgaria",0,1,1,2,2,3,3,4
"Cuba","Bulgaria",50,91,132,185,234,241,301,414
"Dominica","Bulgaria",0,0,0,1,1,0,0,0
"Dominican Republic","Bulgaria",5,8,11,16,19,41,56,77
"Haiti","Bulgaria",1,2,3,4,5,5,4,6
"Jamaica","Bulgaria",1,2,3,5,6,5,5,7
"Trinidad and Tobago","Bulgaria",0,0,0,1,1,4,4,6
"Turks and Caicos Islands","Bulgaria",1,2,2,3,3,3,1,1
"Belize","Bulgaria",0,1,1,2,2,2,0,0
"Costa Rica","Bulgaria",1,2,3,4,5,7,8,11
"El Salvador","Bulgaria",1,2,3,5,7,8,11,15
"Guatemala","Bulgaria",1,2,3,5,6,4,4,6
"Honduras","Bulgaria",0,1,1,2,2,2,4,6
"Mexico","Bulgaria",2,7,12,18,23,54,97,133
"Nicaragua","Bulgaria",15,17,19,23,27,28,38,52
"Panama","Bulgaria",4,4,4,5,6,7,7,10
"Argentina","Bulgaria",7,30,53,81,107,99,127,175
"Bolivia","Bulgaria",1,6,10,16,20,16,22,30
"Brazil","Bulgaria",8,25,42,63,83,120,210,289
"Chile","Bulgaria",3,7,10,15,19,20,27,37
"Colombia","Bulgaria",1,6,10,16,21,36,68,94
"Ecuador","Bulgaria",1,4,6,9,12,15,28,39
"Guyana","Bulgaria",1,2,2,3,4,4,3,4
"Paraguay","Bulgaria",0,1,1,2,2,2,3,4
"Peru","Bulgaria",7,10,12,16,19,26,33,45
"Suriname","Bulgaria",0,0,0,1,1,1,2,3
"Uruguay","Bulgaria",2,5,8,12,16,16,17,23
"Venezuela, RB","Bulgaria",1,7,12,19,24,34,52,72
"Bermuda","Bulgaria",0,0,0,1,1,1,1,1
"Canada","Bulgaria",17,64,111,167,220,484,753,1035
"Greenland","Bulgaria",1,2,2,3,3,2,1,1
"United States","Bulgaria",139,352,565,826,1071,2129,3454,4750
"Australia","Bulgaria",13,40,66,99,129,200,295,406
"New Zealand","Bulgaria",5,9,12,17,20,42,63,87
"Fiji","Bulgaria",0,1,1,2,2,1,0,0
"Papua New Guinea","Bulgaria",1,2,2,3,3,2,1,1
"Vanuatu","Bulgaria",0,0,0,1,1,15,15,21
"Kiribati","Bulgaria",1,2,3,4,5,4,3,4
"Marshall Islands","Bulgaria",0,0,0,1,1,1,0,0
"Nauru","Bulgaria",0,1,1,2,2,2,1,1
"Samoa","Bulgaria",1,2,3,5,6,5,5,7
"Tonga","Bulgaria",0,1,1,2,2,1,0,0
"Tuvalu","Bulgaria",4,6,8,11,14,2,0,0
"Egypt, Arab Rep.","Czechia",0,0,124,292,626,865,1122,1315
"Tunisia","Czechia",0,0,126,290,613,822,1032,1190
"Kazakhstan","Czechia",0,0,1549,3169,6110,7284,8093,8719
"Kyrgyz Republic","Czechia",0,0,105,319,806,1063,1276,1439
"Uzbekistan","Czechia",0,0,60,508,2214,2611,2555,2510
"China","Czechia",0,0,1004,2200,4488,4874,4832,4799
"Japan","Czechia",0,0,75,480,1602,1728,1587,1471
"Mongolia","Czechia",0,0,217,1429,4846,5599,5543,5498
"Korea, Rep.","Czechia",0,0,20,237,1459,1751,1665,1596
"India","Czechia",0,0,170,506,1260,2376,4312,5675
"Iran, Islamic Rep.","Czechia",0,0,166,298,513,710,953,1132
"Philippines","Czechia",0,0,11,100,451,998,1997,2690
"Thailand","Czechia",0,0,8,100,586,911,1170,1363
"Viet Nam","Czechia",0,0,12310,25046,48431,44191,36263,29508
"Armenia","Czechia",0,54,827,1393,2289,2431,2423,2416
"Azerbaijan","Czechia",0,0,132,379,936,1293,1637,1897
"Georgia","Czechia",0,0,297,624,1227,1431,1546,1636
